Frequency_Band,Center_Frequency_Hz,Power_Watts,Power_dBW
8.33-8.34 kHz,8335,1501658100.46,91.77
8.34-8.35 kHz,8345,1501660083.87,91.77
8.35-8.36 kHz,8355,1501662067.26,91.77
8.36-8.37 kHz,8365,1501664050.63,91.77
8.37-8.38 kHz,8375,1501666033.98,91.77
8.38-8.39 kHz,8385,1501668017.32,91.77
8.39-8.40 kHz,8395,1501670000.63,91.77
8.40-8.41 kHz,8405,1501671983.92,91.77
8.41-8.42 kHz,8415,1501673967.19,91.77
8.42-8.43 kHz,8425,1501675950.44,91.77
8.43-8.44 kHz,8435,1501677933.67,91.77
8.44-8.45 kHz,8445,1501679916.88,91.77
8.45-8.46 kHz,8455,1501681900.07,91.77
8.46-8.47 kHz,8465,1501683883.25,91.77
8.47-8.48 kHz,8475,1501685866.40,91.77
8.48-8.49 kHz,8485,1501687849.53,91.77
8.49-8.50 kHz,8495,1501689832.64,91.77
8.50-8.51 kHz,8505,1501691815.73,91.77
8.51-8.52 kHz,8515,1501693798.80,91.77
8.52-8.53 kHz,8525,1501695781.86,91.77
8.53-8.54 kHz,8535,1501697764.89,91.77
8.54-8.55 kHz,8545,1501699747.90,91.77
8.55-8.56 kHz,8555,1501701730.89,91.77
8.56-8.57 kHz,8565,1501703713.87,91.77
8.57-8.58 kHz,8575,1501705696.82,91.77
8.58-8.59 kHz,8585,1501707679.75,91.77
8.59-8.60 kHz,8595,1501709662.66,91.77
8.60-8.61 kHz,8605,1501711645.56,91.77
8.61-8.62 kHz,8615,1501713628.43,91.77
8.62-8.63 kHz,8625,1501715611.28,91.77
8.63-8.64 kHz,8635,1501717594.11,91.77
8.64-8.65 kHz,8645,1501719576.93,91.77
8.65-8.66 kHz,8655,1501721559.72,91.77
8.66-8.67 kHz,8665,1501723542.49,91.77
8.67-8.68 kHz,8675,1501725525.25,91.77
8.68-8.69 kHz,8685,1501727507.98,91.77
8.69-8.70 kHz,8695,1501729490.69,91.77
8.70-8.71 kHz,8705,1501731473.39,91.77
8.71-8.72 kHz,8715,1501733456.06,91.77
8.72-8.73 kHz,8725,1501735438.71,91.77
8.73-8.74 kHz,8735,1501737421.35,91.77
8.74-8.75 kHz,8745,1501739403.96,91.77
8.75-8.76 kHz,8755,1501741386.56,91.77
8.76-8.77 kHz,8765,1501743369.13,91.77
8.77-8.78 kHz,8775,1501745351.68,91.77
8.78-8.79 kHz,8785,1501747334.22,91.77
8.79-8.80 kHz,8795,1501749316.73,91.77
8.80-8.81 kHz,8805,1501751299.23,91.77
8.81-8.82 kHz,8815,1501753281.70,91.77
8.82-8.83 kHz,8825,1501755264.15,91.77
8.83-8.84 kHz,8835,1501757246.59,91.77
8.84-8.85 kHz,8845,1501759229.00,91.77
8.85-8.86 kHz,8855,1501761211.40,91.77
8.86-8.87 kHz,8865,1501763193.77,91.77
8.87-8.88 kHz,8875,1501765176.13,91.77
8.88-8.89 kHz,8885,1501767158.46,91.77
8.89-8.90 kHz,8895,1501769140.78,91.77
8.90-8.91 kHz,8905,1501771123.07,91.77
8.91-8.92 kHz,8915,1501773105.35,91.77
8.92-8.93 kHz,8925,1501775087.60,91.77
8.93-8.94 kHz,8935,1501777069.84,91.77
8.94-8.95 kHz,8945,1501779052.05,91.77
8.95-8.96 kHz,8955,1501781034.25,91.77
8.96-8.97 kHz,8965,1501783016.42,91.77
8.97-8.98 kHz,8975,1501784998.58,91.77
8.98-8.99 kHz,8985,1501786980.72,91.77
8.99-9.00 kHz,8995,1501788962.83,91.77
9.00-9.01 kHz,9005,1501790944.93,91.77
9.01-9.02 kHz,9015,1501792927.00,91.77
9.02-9.03 kHz,9025,1501794909.06,91.77
9.03-9.04 kHz,9035,1501796891.10,91.77
9.04-9.05 kHz,9045,1501798873.11,91.77
9.05-9.06 kHz,9055,1501800855.11,91.77
9.06-9.07 kHz,9065,1501802837.08,91.77
9.07-9.08 kHz,9075,1501804819.04,91.77
9.08-9.09 kHz,9085,1501806800.98,91.77
9.09-9.10 kHz,9095,1501808782.89,91.77
9.10-9.11 kHz,9105,1501810764.79,91.77
9.11-9.12 kHz,9115,1501812746.67,91.77
9.12-9.13 kHz,9125,1501814728.52,91.77
9.13-9.14 kHz,9135,1501816710.36,91.77
9.14-9.15 kHz,9145,1501818692.18,91.77
9.15-9.16 kHz,9155,1501820673.97,91.77
9.16-9.17 kHz,9165,1501822655.75,91.77
9.17-9.18 kHz,9175,1501824637.51,91.77
9.18-9.19 kHz,9185,1501826619.25,91.77
9.19-9.20 kHz,9195,1501828600.96,91.77
9.20-9.21 kHz,9205,1501830582.66,91.77
9.21-9.22 kHz,9215,1501832564.34,91.77
9.22-9.23 kHz,9225,1501834546.00,91.77
9.23-9.24 kHz,9235,1501836527.63,91.77
9.24-9.25 kHz,9245,1501838509.25,91.77
9.25-9.26 kHz,9255,1501840490.85,91.77
9.26-9.27 kHz,9265,1501842472.43,91.77
9.27-9.28 kHz,9275,1501844453.99,91.77
9.28-9.29 kHz,9285,1501846435.52,91.77
9.29-9.30 kHz,9295,1501848417.04,91.77
9.30-9.31 kHz,9305,1501850398.54,91.77
9.31-9.32 kHz,9315,1501852380.02,91.77
9.32-9.33 kHz,9325,1501854361.48,91.77
9.33-9.34 kHz,9335,1501856342.92,91.77
9.34-9.35 kHz,9345,1501858324.33,91.77
9.35-9.36 kHz,9355,1501860305.73,91.77
9.36-9.37 kHz,9365,1501862287.11,91.77
9.37-9.38 kHz,9375,1501864268.47,91.77
9.38-9.39 kHz,9385,1501866249.81,91.77
9.39-9.40 kHz,9395,1501868231.13,91.77
9.40-9.41 kHz,9405,1501870212.43,91.77
9.41-9.42 kHz,9415,1501872193.71,91.77
9.42-9.43 kHz,9425,1501874174.97,91.77
9.43-9.44 kHz,9435,1501876156.20,91.77
9.44-9.45 kHz,9445,1501878137.42,91.77
9.45-9.46 kHz,9455,1501880118.62,91.77
9.46-9.47 kHz,9465,1501882099.80,91.77
9.47-9.48 kHz,9475,1501884080.96,91.77
9.48-9.49 kHz,9485,1501886062.10,91.77
9.49-9.50 kHz,9495,1501888043.22,91.77
9.50-9.51 kHz,9505,1501890024.32,91.77
9.51-9.52 kHz,9515,1501892005.40,91.77
9.52-9.53 kHz,9525,1501893986.46,91.77
9.53-9.54 kHz,9535,1501895967.50,91.77
9.54-9.55 kHz,9545,1501897948.52,91.77
9.55-9.56 kHz,9555,1501899929.52,91.77
9.56-9.57 kHz,9565,1501901910.50,91.77
9.57-9.58 kHz,9575,1501903891.46,91.77
9.58-9.59 kHz,9585,1501905872.40,91.77
9.59-9.60 kHz,9595,1501907853.32,91.77
9.60-9.61 kHz,9605,1501909834.22,91.77
9.61-9.62 kHz,9615,1501911815.11,91.77
9.62-9.63 kHz,9625,1501913795.97,91.77
9.63-9.64 kHz,9635,1501915776.81,91.77
9.64-9.65 kHz,9645,1501917757.63,91.77
9.65-9.66 kHz,9655,1501919738.43,91.77
9.66-9.67 kHz,9665,1501921719.21,91.77
9.67-9.68 kHz,9675,1501923699.97,91.77
9.68-9.69 kHz,9685,1501925680.71,91.77
9.69-9.70 kHz,9695,1501927661.43,91.77
9.70-9.71 kHz,9705,1501929642.14,91.77
9.71-9.72 kHz,9715,1501931622.82,91.77
9.72-9.73 kHz,9725,1501933603.48,91.77
9.73-9.74 kHz,9735,1501935584.12,91.77
9.74-9.75 kHz,9745,1501937564.74,91.77
9.75-9.76 kHz,9755,1501939545.34,91.77
9.76-9.77 kHz,9765,1501941525.93,91.77
9.77-9.78 kHz,9775,1501943506.49,91.77
9.78-9.79 kHz,9785,1501945487.03,91.77
9.79-9.80 kHz,9795,1501947467.55,91.77
9.80-9.81 kHz,9805,1501949448.05,91.77
9.81-9.82 kHz,9815,1501951428.54,91.77
9.82-9.83 kHz,9825,1501953409.00,91.77
9.83-9.84 kHz,9835,1501955389.44,91.77
9.84-9.85 kHz,9845,1501957369.86,91.77
9.85-9.86 kHz,9855,1501959350.27,91.77
9.86-9.87 kHz,9865,1501961330.65,91.77
9.87-9.88 kHz,9875,1501963311.01,91.77
9.88-9.89 kHz,9885,1501965291.35,91.77
9.89-9.90 kHz,9895,1501967271.68,91.77
9.90-9.91 kHz,9905,1501969251.98,91.77
9.91-9.92 kHz,9915,1501971232.26,91.77
9.92-9.93 kHz,9925,1501973212.53,91.77
9.93-9.94 kHz,9935,1501975192.77,91.77
9.94-9.95 kHz,9945,1501977172.99,91.77
9.95-9.96 kHz,9955,1501979153.20,91.77
9.96-9.97 kHz,9965,1501981133.38,91.77
9.97-9.98 kHz,9975,1501983113.54,91.77
9.98-9.99 kHz,9985,1501985093.69,91.77
9.99-10.00 kHz,9995,1501987073.81,91.77
10.0-10.1 kHz,10050,1501997964.14,91.77
10.1-10.2 kHz,10150,1502017763.18,91.77
10.2-10.3 kHz,10250,1502037560.24,91.77
10.3-10.4 kHz,10350,1502057355.30,91.77
10.4-10.5 kHz,10450,1502077148.37,91.77
10.5-10.6 kHz,10550,1502096939.45,91.77
10.6-10.7 kHz,10650,1502116728.53,91.77
10.7-10.8 kHz,10750,1502136515.63,91.77
10.8-10.9 kHz,10850,1502156300.73,91.77
10.9-11.0 kHz,10950,1502176083.84,91.77
11.0-11.1 kHz,11050,1502195864.96,91.77
11.1-11.2 kHz,11150,1502215644.09,91.77
11.2-11.3 kHz,11250,1502235421.22,91.77
11.3-11.4 kHz,11350,1502255196.36,91.77
11.4-11.5 kHz,11450,1502274969.51,91.77
11.5-11.6 kHz,11550,1502294740.67,91.77
11.6-11.7 kHz,11650,1502314509.84,91.77
11.7-11.8 kHz,11750,1502334277.01,91.77
11.8-11.9 kHz,11850,1502354042.19,91.77
11.9-12.0 kHz,11950,1502373805.38,91.77
12.0-12.1 kHz,12050,1502393566.58,91.77
12.1-12.2 kHz,12150,1502413325.79,91.77
12.2-12.3 kHz,12250,1502433083.00,91.77
12.3-12.4 kHz,12350,1502452838.23,91.77
12.4-12.5 kHz,12450,1502472591.46,91.77
12.5-12.6 kHz,12550,1502492342.69,91.77
12.6-12.7 kHz,12650,1502512091.94,91.77
12.7-12.8 kHz,12750,1502531839.19,91.77
12.8-12.9 kHz,12850,1502551584.46,91.77
12.9-13.0 kHz,12950,1502571327.73,91.77
13.0-13.1 kHz,13050,1502591069.00,91.77
13.1-13.2 kHz,13150,1502610808.29,91.77
13.2-13.3 kHz,13250,1502630545.59,91.77
13.3-13.4 kHz,13350,1502650280.89,91.77
13.4-13.5 kHz,13450,1502670014.20,91.77
13.5-13.6 kHz,13550,1502689745.52,91.77
13.6-13.7 kHz,13650,1502709474.84,91.77
13.7-13.8 kHz,13750,1502729202.18,91.77
13.8-13.9 kHz,13850,1502748927.52,91.77
13.9-14.0 kHz,13950,1502768650.87,91.77
14.0-14.1 kHz,14050,1502788372.23,91.77
14.1-14.2 kHz,14150,1502808091.59,91.77
14.2-14.3 kHz,14250,1502827808.97,91.77
14.3-14.4 kHz,14350,1502847524.35,91.77
14.4-14.5 kHz,14450,1502867237.74,91.77
14.5-14.6 kHz,14550,1502886949.14,91.77
14.6-14.7 kHz,14650,1502906658.54,91.77
14.7-14.8 kHz,14750,1502926365.96,91.77
14.8-14.9 kHz,14850,1502946071.38,91.77
14.9-15.0 kHz,14950,1502965774.81,91.77
15.0-15.1 kHz,15050,1502985476.25,91.77
15.1-15.2 kHz,15150,1503005175.69,91.77
15.2-15.3 kHz,15250,1503024873.15,91.77
15.3-15.4 kHz,15350,1503044568.61,91.77
15.4-15.5 kHz,15450,1503064262.08,91.77
15.5-15.6 kHz,15550,1503083953.56,91.77
15.6-15.7 kHz,15650,1503103643.04,91.77
15.7-15.8 kHz,15750,1503123330.54,91.77
15.8-15.9 kHz,15850,1503143016.04,91.77
15.9-16.0 kHz,15950,1503162699.55,91.77
16.0-16.1 kHz,16050,1503182381.07,91.77
16.1-16.2 kHz,16150,1503202060.59,91.77
16.2-16.3 kHz,16250,1503221738.13,91.77
16.3-16.4 kHz,16350,1503241413.67,91.77
16.4-16.5 kHz,16450,1503261087.22,91.77
16.5-16.6 kHz,16550,1503280758.78,91.77
16.6-16.7 kHz,16650,1503300428.34,91.77
16.7-16.8 kHz,16750,1503320095.92,91.77
16.8-16.9 kHz,16850,1503339761.50,91.77
16.9-17.0 kHz,16950,1503359425.09,91.77
17.0-17.1 kHz,17050,1503379086.68,91.77
17.1-17.2 kHz,17150,1503398746.29,91.77
17.2-17.3 kHz,17250,1503418403.90,91.77
17.3-17.4 kHz,17350,1503438059.53,91.77
17.4-17.5 kHz,17450,1503457713.16,91.77
17.5-17.6 kHz,17550,1503477364.79,91.77
17.6-17.7 kHz,17650,1503497014.44,91.77
17.7-17.8 kHz,17750,1503516662.09,91.77
17.8-17.9 kHz,17850,1503536307.76,91.77
17.9-18.0 kHz,17950,1503555951.43,91.77
18.0-18.1 kHz,18050,1503575593.10,91.77
18.1-18.2 kHz,18150,1503595232.79,91.77
18.2-18.3 kHz,18250,1503614870.48,91.77
18.3-18.4 kHz,18350,1503634506.18,91.77
18.4-18.5 kHz,18450,1503654139.89,91.77
18.5-18.6 kHz,18550,1503673771.61,91.77
18.6-18.7 kHz,18650,1503693401.34,91.77
18.7-18.8 kHz,18750,1503713029.07,91.77
18.8-18.9 kHz,18850,1503732654.81,91.77
18.9-19.0 kHz,18950,1503752278.56,91.77
19.0-19.1 kHz,19050,1503771900.32,91.77
19.1-19.2 kHz,19150,1503791520.09,91.77
19.2-19.3 kHz,19250,1503811137.86,91.77
19.3-19.4 kHz,19350,1503830753.64,91.77
19.4-19.5 kHz,19450,1503850367.43,91.77
19.5-19.6 kHz,19550,1503869979.23,91.77
19.6-19.7 kHz,19650,1503889589.03,91.77
19.7-19.8 kHz,19750,1503909196.85,91.77
19.8-19.9 kHz,19850,1503928802.67,91.77
19.9-20.0 kHz,19950,1503948406.50,91.77
20.0-20.1 kHz,20050,1503968008.34,91.77
20.1-20.2 kHz,20150,1503987608.18,91.77
20.2-20.3 kHz,20250,1504007206.04,91.77
20.3-20.4 kHz,20350,1504026801.90,91.77
20.4-20.5 kHz,20450,1504046395.77,91.77
20.5-20.6 kHz,20550,1504065987.64,91.77
20.6-20.7 kHz,20650,1504085577.53,91.77
20.7-20.8 kHz,20750,1504105165.42,91.77
20.8-20.9 kHz,20850,1504124751.33,91.77
20.9-21.0 kHz,20950,1504144335.23,91.77
21.0-21.1 kHz,21050,1504163917.15,91.77
21.1-21.2 kHz,21150,1504183497.08,91.77
21.2-21.3 kHz,21250,1504203075.01,91.77
21.3-21.4 kHz,21350,1504222650.95,91.77
21.4-21.5 kHz,21450,1504242224.90,91.77
21.5-21.6 kHz,21550,1504261796.86,91.77
21.6-21.7 kHz,21650,1504281366.83,91.77
21.7-21.8 kHz,21750,1504300934.80,91.77
21.8-21.9 kHz,21850,1504320500.78,91.77
21.9-22.0 kHz,21950,1504340064.77,91.77
22.0-22.1 kHz,22050,1504359626.77,91.77
22.1-22.2 kHz,22150,1504379186.77,91.77
22.2-22.3 kHz,22250,1504398744.79,91.77
22.3-22.4 kHz,22350,1504418300.81,91.77
22.4-22.5 kHz,22450,1504437854.84,91.77
22.5-22.6 kHz,22550,1504457406.87,91.77
22.6-22.7 kHz,22650,1504476956.92,91.77
22.7-22.8 kHz,22750,1504496504.97,91.77
22.8-22.9 kHz,22850,1504516051.03,91.77
22.9-23.0 kHz,22950,1504535595.10,91.77
23.0-23.1 kHz,23050,1504555137.18,91.77
23.1-23.2 kHz,23150,1504574677.27,91.77
23.2-23.3 kHz,23250,1504594215.36,91.77
23.3-23.4 kHz,23350,1504613751.46,91.77
23.4-23.5 kHz,23450,1504633285.57,91.77
23.5-23.6 kHz,23550,1504652817.69,91.77
23.6-23.7 kHz,23650,1504672347.81,91.77
23.7-23.8 kHz,23750,1504691875.95,91.77
23.8-23.9 kHz,23850,1504711402.09,91.77
23.9-24.0 kHz,23950,1504730926.24,91.77
24.0-24.1 kHz,24050,1504750448.39,91.77
24.1-24.2 kHz,24150,1504769968.56,91.77
24.2-24.3 kHz,24250,1504789486.73,91.77
24.3-24.4 kHz,24350,1504809002.91,91.77
24.4-24.5 kHz,24450,1504828517.10,91.77
24.5-24.6 kHz,24550,1504848029.30,91.77
24.6-24.7 kHz,24650,1504867539.51,91.77
24.7-24.8 kHz,24750,1504887047.72,91.78
24.8-24.9 kHz,24850,1504906553.94,91.78
24.9-25.0 kHz,24950,1504926058.17,91.78
25.0-25.1 kHz,25050,1504945560.41,91.78
25.1-25.2 kHz,25150,1504965060.65,91.78
25.2-25.3 kHz,25250,1504984558.91,91.78
25.3-25.4 kHz,25350,1505004055.17,91.78
25.4-25.5 kHz,25450,1505023549.44,91.78
25.5-25.6 kHz,25550,1505043041.71,91.78
25.6-25.7 kHz,25650,1505062532.00,91.78
25.7-25.8 kHz,25750,1505082020.29,91.78
25.8-25.9 kHz,25850,1505101506.59,91.78
25.9-26.0 kHz,25950,1505120990.90,91.78
26.0-26.1 kHz,26050,1505140473.22,91.78
26.1-26.2 kHz,26150,1505159953.54,91.78
26.2-26.3 kHz,26250,1505179431.88,91.78
26.3-26.4 kHz,26350,1505198908.22,91.78
26.4-26.5 kHz,26450,1505218382.57,91.78
26.5-26.6 kHz,26550,1505237854.92,91.78
26.6-26.7 kHz,26650,1505257325.29,91.78
26.7-26.8 kHz,26750,1505276793.66,91.78
26.8-26.9 kHz,26850,1505296260.04,91.78
26.9-27.0 kHz,26950,1505315724.43,91.78
27.0-27.1 kHz,27050,1505335186.83,91.78
27.1-27.2 kHz,27150,1505354647.23,91.78
27.2-27.3 kHz,27250,1505374105.65,91.78
27.3-27.4 kHz,27350,1505393562.07,91.78
27.4-27.5 kHz,27450,1505413016.50,91.78
27.5-27.6 kHz,27550,1505432468.93,91.78
27.6-27.7 kHz,27650,1505451919.38,91.78
27.7-27.8 kHz,27750,1505471367.83,91.78
27.8-27.9 kHz,27850,1505490814.29,91.78
27.9-28.0 kHz,27950,1505510258.76,91.78
28.0-28.1 kHz,28050,1505529701.24,91.78
28.1-28.2 kHz,28150,1505549141.72,91.78
28.2-28.3 kHz,28250,1505568580.22,91.78
28.3-28.4 kHz,28350,1505588016.72,91.78
28.4-28.5 kHz,28450,1505607451.23,91.78
28.5-28.6 kHz,28550,1505626883.74,91.78
28.6-28.7 kHz,28650,1505646314.27,91.78
28.7-28.8 kHz,28750,1505665742.80,91.78
28.8-28.9 kHz,28850,1505685169.34,91.78
28.9-29.0 kHz,28950,1505704593.89,91.78
29.0-29.1 kHz,29050,1505724016.45,91.78
29.1-29.2 kHz,29150,1505743437.01,91.78
29.2-29.3 kHz,29250,1505762855.59,91.78
29.3-29.4 kHz,29350,1505782272.17,91.78
29.4-29.5 kHz,29450,1505801686.76,91.78
29.5-29.6 kHz,29550,1505821099.35,91.78
29.6-29.7 kHz,29650,1505840509.96,91.78
29.7-29.8 kHz,29750,1505859918.57,91.78
29.8-29.9 kHz,29850,1505879325.19,91.78
29.9-30.0 kHz,29950,1505898729.82,91.78
30.0-30.1 kHz,30050,1505918132.46,91.78
30.1-30.2 kHz,30150,1505937533.10,91.78
30.2-30.3 kHz,30250,1505956931.75,91.78
30.3-30.4 kHz,30350,1505976328.42,91.78
30.4-30.5 kHz,30450,1505995723.08,91.78
30.5-30.6 kHz,30550,1506015115.76,91.78
30.6-30.7 kHz,30650,1506034506.45,91.78
30.7-30.8 kHz,30750,1506053895.14,91.78
30.8-30.9 kHz,30850,1506073281.84,91.78
30.9-31.0 kHz,30950,1506092666.55,91.78
31.0-31.1 kHz,31050,1506112049.26,91.78
31.1-31.2 kHz,31150,1506131429.99,91.78
31.2-31.3 kHz,31250,1506150808.72,91.78
31.3-31.4 kHz,31350,1506170185.46,91.78
31.4-31.5 kHz,31450,1506189560.21,91.78
31.5-31.6 kHz,31550,1506208932.97,91.78
31.6-31.7 kHz,31650,1506228303.73,91.78
31.7-31.8 kHz,31750,1506247672.51,91.78
31.8-31.9 kHz,31850,1506267039.29,91.78
31.9-32.0 kHz,31950,1506286404.08,91.78
32.0-32.1 kHz,32050,1506305766.87,91.78
32.1-32.2 kHz,32150,1506325127.68,91.78
32.2-32.3 kHz,32250,1506344486.49,91.78
32.3-32.4 kHz,32350,1506363843.31,91.78
32.4-32.5 kHz,32450,1506383198.14,91.78
32.5-32.6 kHz,32550,1506402550.97,91.78
32.6-32.7 kHz,32650,1506421901.82,91.78
32.7-32.8 kHz,32750,1506441250.67,91.78
32.8-32.9 kHz,32850,1506460597.53,91.78
32.9-33.0 kHz,32950,1506479942.40,91.78
33.0-33.1 kHz,33050,1506499285.28,91.78
33.1-33.2 kHz,33150,1506518626.16,91.78
33.2-33.3 kHz,33250,1506537965.05,91.78
33.3-33.4 kHz,33350,1506557301.96,91.78
33.4-33.5 kHz,33450,1506576636.86,91.78
33.5-33.6 kHz,33550,1506595969.78,91.78
33.6-33.7 kHz,33650,1506615300.71,91.78
33.7-33.8 kHz,33750,1506634629.64,91.78
33.8-33.9 kHz,33850,1506653956.58,91.78
33.9-34.0 kHz,33950,1506673281.53,91.78
34.0-34.1 kHz,34050,1506692604.48,91.78
34.1-34.2 kHz,34150,1506711925.45,91.78
34.2-34.3 kHz,34250,1506731244.42,91.78
34.3-34.4 kHz,34350,1506750561.40,91.78
34.4-34.5 kHz,34450,1506769876.39,91.78
34.5-34.6 kHz,34550,1506789189.39,91.78
34.6-34.7 kHz,34650,1506808500.39,91.78
34.7-34.8 kHz,34750,1506827809.40,91.78
34.8-34.9 kHz,34850,1506847116.42,91.78
34.9-35.0 kHz,34950,1506866421.45,91.78
35.0-35.1 kHz,35050,1506885724.49,91.78
35.1-35.2 kHz,35150,1506905025.53,91.78
35.2-35.3 kHz,35250,1506924324.58,91.78
35.3-35.4 kHz,35350,1506943621.64,91.78
35.4-35.5 kHz,35450,1506962916.71,91.78
35.5-35.6 kHz,35550,1506982209.79,91.78
35.6-35.7 kHz,35650,1507001500.87,91.78
35.7-35.8 kHz,35750,1507020789.97,91.78
35.8-35.9 kHz,35850,1507040077.07,91.78
35.9-36.0 kHz,35950,1507059362.17,91.78
36.0-36.1 kHz,36050,1507078645.29,91.78
36.1-36.2 kHz,36150,1507097926.42,91.78
36.2-36.3 kHz,36250,1507117205.55,91.78
36.3-36.4 kHz,36350,1507136482.69,91.78
36.4-36.5 kHz,36450,1507155757.84,91.78
36.5-36.6 kHz,36550,1507175030.99,91.78
36.6-36.7 kHz,36650,1507194302.16,91.78
36.7-36.8 kHz,36750,1507213571.33,91.78
36.8-36.9 kHz,36850,1507232838.51,91.78
36.9-37.0 kHz,36950,1507252103.70,91.78
37.0-37.1 kHz,37050,1507271366.89,91.78
37.1-37.2 kHz,37150,1507290628.10,91.78
37.2-37.3 kHz,37250,1507309887.31,91.78
37.3-37.4 kHz,37350,1507329144.53,91.78
37.4-37.5 kHz,37450,1507348399.76,91.78
37.5-37.6 kHz,37550,1507367653.00,91.78
37.6-37.7 kHz,37650,1507386904.24,91.78
37.7-37.8 kHz,37750,1507406153.49,91.78
37.8-37.9 kHz,37850,1507425400.75,91.78
37.9-38.0 kHz,37950,1507444646.02,91.78
38.0-38.1 kHz,38050,1507463889.30,91.78
38.1-38.2 kHz,38150,1507483130.58,91.78
38.2-38.3 kHz,38250,1507502369.87,91.78
38.3-38.4 kHz,38350,1507521607.17,91.78
38.4-38.5 kHz,38450,1507540842.48,91.78
38.5-38.6 kHz,38550,1507560075.80,91.78
38.6-38.7 kHz,38650,1507579307.12,91.78
38.7-38.8 kHz,38750,1507598536.45,91.78
38.8-38.9 kHz,38850,1507617763.79,91.78
38.9-39.0 kHz,38950,1507636989.14,91.78
39.0-39.1 kHz,39050,1507656212.50,91.78
39.1-39.2 kHz,39150,1507675433.86,91.78
39.2-39.3 kHz,39250,1507694653.23,91.78
39.3-39.4 kHz,39350,1507713870.61,91.78
39.4-39.5 kHz,39450,1507733086.00,91.78
39.5-39.6 kHz,39550,1507752299.40,91.78
39.6-39.7 kHz,39650,1507771510.80,91.78
39.7-39.8 kHz,39750,1507790720.21,91.78
39.8-39.9 kHz,39850,1507809927.63,91.78
39.9-40.0 kHz,39950,1507829133.06,91.78
40.0-40.1 kHz,40050,1507848336.50,91.78
40.1-40.2 kHz,40150,1507867537.94,91.78
40.2-40.3 kHz,40250,1507886737.39,91.78
40.3-40.4 kHz,40350,1507905934.85,91.78
40.4-40.5 kHz,40450,1507925130.32,91.78
40.5-40.6 kHz,40550,1507944323.80,91.78
40.6-40.7 kHz,40650,1507963515.28,91.78
40.7-40.8 kHz,40750,1507982704.77,91.78
40.8-40.9 kHz,40850,1508001892.27,91.78
40.9-41.0 kHz,40950,1508021077.78,91.78
41.0-41.1 kHz,41050,1508040261.30,91.78
41.1-41.2 kHz,41150,1508059442.82,91.78
41.2-41.3 kHz,41250,1508078622.35,91.78
41.3-41.4 kHz,41350,1508097799.89,91.78
41.4-41.5 kHz,41450,1508116975.44,91.78
41.5-41.6 kHz,41550,1508136149.00,91.78
41.6-41.7 kHz,41650,1508155320.56,91.78
41.7-41.8 kHz,41750,1508174490.13,91.78
41.8-41.9 kHz,41850,1508193657.71,91.78
41.9-42.0 kHz,41950,1508212823.30,91.78
42.0-42.1 kHz,42050,1508231986.90,91.78
42.1-42.2 kHz,42150,1508251148.50,91.78
42.2-42.3 kHz,42250,1508270308.11,91.78
42.3-42.4 kHz,42350,1508289465.73,91.78
42.4-42.5 kHz,42450,1508308621.36,91.78
42.5-42.6 kHz,42550,1508327775.00,91.78
42.6-42.7 kHz,42650,1508346926.64,91.79
42.7-42.8 kHz,42750,1508366076.29,91.79
42.8-42.9 kHz,42850,1508385223.95,91.79
42.9-43.0 kHz,42950,1508404369.62,91.79
43.0-43.1 kHz,43050,1508423513.29,91.79
43.1-43.2 kHz,43150,1508442654.98,91.79
43.2-43.3 kHz,43250,1508461794.67,91.79
43.3-43.4 kHz,43350,1508480932.37,91.79
43.4-43.5 kHz,43450,1508500068.08,91.79
43.5-43.6 kHz,43550,1508519201.79,91.79
43.6-43.7 kHz,43650,1508538333.52,91.79
43.7-43.8 kHz,43750,1508557463.25,91.79
43.8-43.9 kHz,43850,1508576590.99,91.79
43.9-44.0 kHz,43950,1508595716.74,91.79
44.0-44.1 kHz,44050,1508614840.49,91.79
44.1-44.2 kHz,44150,1508633962.26,91.79
44.2-44.3 kHz,44250,1508653082.03,91.79
44.3-44.4 kHz,44350,1508672199.81,91.79
44.4-44.5 kHz,44450,1508691315.59,91.79
44.5-44.6 kHz,44550,1508710429.39,91.79
44.6-44.7 kHz,44650,1508729541.19,91.79
44.7-44.8 kHz,44750,1508748651.01,91.79
44.8-44.9 kHz,44850,1508767758.83,91.79
44.9-45.0 kHz,44950,1508786864.65,91.79
45.0-45.1 kHz,45050,1508805968.49,91.79
45.1-45.2 kHz,45150,1508825070.33,91.79
45.2-45.3 kHz,45250,1508844170.18,91.79
45.3-45.4 kHz,45350,1508863268.04,91.79
45.4-45.5 kHz,45450,1508882363.91,91.79
45.5-45.6 kHz,45550,1508901457.79,91.79
45.6-45.7 kHz,45650,1508920549.67,91.79
45.7-45.8 kHz,45750,1508939639.56,91.79
45.8-45.9 kHz,45850,1508958727.46,91.79
45.9-46.0 kHz,45950,1508977813.37,91.79
46.0-46.1 kHz,46050,1508996897.28,91.79
46.1-46.2 kHz,46150,1509015979.21,91.79
46.2-46.3 kHz,46250,1509035059.14,91.79
46.3-46.4 kHz,46350,1509054137.08,91.79
46.4-46.5 kHz,46450,1509073213.03,91.79
46.5-46.6 kHz,46550,1509092286.98,91.79
46.6-46.7 kHz,46650,1509111358.95,91.79
46.7-46.8 kHz,46750,1509130428.92,91.79
46.8-46.9 kHz,46850,1509149496.90,91.79
46.9-47.0 kHz,46950,1509168562.88,91.79
